SaleID,CustomerID,ProductID,SaleDate,Quantity,UnitPrice,TotalPrice,PaymentMethod,ShippingAddress,ShippingDate,DeliveryStatus
18,51,142,2024-06-06,2,447.42,894.84,PayPal,"422 Benjamin Curve East Jesseland, HI 51028",2024-05-07,Processing
19,64,124,2024-05-21,2,650.43,1300.86,Bank Transfer,"5370 Thomas Expressway East Lindaborough, NH 85872",2024-02-05,Shipped
20,42,104,2024-03-14,4,569.56,2278.24,PayPal,"099 Natalie Parkway Jessicaburgh, OR 79694",2024-01-20,Delivered
21,15,184,2024-06-07,3,751.51,2254.53,PayPal,Unit 2032 Box 9529 DPO AP 07037,2024-05-19,Processing
22,6,179,2024-03-01,4,704.1,2816.4,PayPal,"189 Guerrero Motorway Hamiltonside, KS 47482",2024-02-13,Processing
23,51,117,2024-02-05,3,432.94,1298.82,Bank Transfer,"195 Wright Square Suite 003 Justinport, ME 08683",2024-04-13,Processing
24,13,111,2024-06-14,1,734.46,734.46,Credit Card,"501 Moore Parks Lake Johnnymouth, AK 49380",2024-04-13,Processing
25,80,142,2024-04-27,2,205.9,411.8,Bank Transfer,"72786 Anderson Summit New Lisatown, IL 57559",2024-05-14,Processing
26,38,166,2024-03-03,1,366.35,366.35,Bank Transfer,"4600 Christopher Squares Lowerystad, MS 74814",2024-06-01,Delivered
27,39,174,2024-03-09,4,865.14,3460.56,PayPal,"8819 Thompson Loop Michaelmouth, NH 75656",2024-04-15,Shipped
28,85,106,2024-01-06,2,464.89,929.78,PayPal,"42426 Chung Fields Lake Joshuaborough, MD 90953",2024-02-13,Processing
29,97,161,2024-03-23,1,201.07,201.07,Bank Transfer,"608 Pineda Route Onealmouth, IA 81813",2024-02-23,Delivered
30,23,106,2024-04-30,2,499.04,998.08,Credit Card,"247 Melissa Fords Amandatown, KY 14315",2024-02-09,Delivered
31,41,110,2024-03-19,2,962.15,1924.3,Bank Transfer,"6573 Sims Parks East Christie, LA 80597",2024-01-18,Shipped
32,68,156,2024-05-01,2,933.08,1866.16,PayPal,"80327 Kelly Lights Suite 618 Ramoschester, LA 94616",2024-01-08,Shipped
33,8,180,2024-03-24,1,650.95,650.95,PayPal,"887 Cooper Roads Apt. 942 Lake Kentmouth, DE 33917",2024-06-12,Processing
34,87,189,2024-06-07,4,347.29,1389.16,PayPal,"6170 Nicholson Squares North Ryanshire, ID 18803",2024-02-23,Shipped
35,41,107,2024-04-07,2,817.69,1635.38,Bank Transfer,"831 Grant Divide Espinozamouth, GA 23314",2024-02-03,Processing
36,56,118,2024-02-16,3,803.68,2411.04,Bank Transfer,"03579 Donald Course North Brendaside, NJ 86979",2024-05-21,Processing
37,4,139,2024-05-02,4,765.04,3060.16,Bank Transfer,"738 Tran Fords Apt. 053 Allenport, UT 23429",2024-02-25,Processing
38,17,132,2024-02-13,2,672.12,1344.24,Credit Card,"44315 John Stravenue Suite 262 Mcdonaldfort, VA 27785",2024-01-21,Delivered
39,57,130,2024-05-31,1,137.69,137.69,PayPal,"2828 Beverly Parkway Suite 333 North Richard, WA 57129",2024-06-16,Processing
40,30,113,2024-02-18,3,265.78,797.34,PayPal,"92426 Blair Lake South Jeffrey, MS 46374",2024-01-16,Processing
41,99,106,2024-04-22,4,805.14,3220.56,PayPal,"58588 Horton Cliffs Apt. 639 West Denise, SD 46633",2024-04-02,Delivered
42,93,170,2024-04-30,1,270.0,,,Unknown,2024-04-02,Pending
